LotArea,YearBuilt,OverallQual,OverallCond,GrLivArea,GarageCars,FullBath,BedroomAbvGr,TotRmsAbvGrd,Neighborhood,SalePrice
9270,1911,8,6,3301,3,2,1,10,Mitchel,125955
2860,1919,10,2,2910,3,2,5,3,CollgCr,496164
7390,1904,6,8,1806,1,2,3,5,CollgCr,197748
7191,1936,3,9,2076,1,3,4,10,CollgCr,144791
13964,1937,7,4,835,0,3,3,5,Crawfor,212586
13284,1993,4,5,2709,4,2,3,4,CollgCr,420862
7734,1908,9,8,3731,0,0,4,2,CollgCr,72650
8265,1997,5,3,1997,3,2,1,8,Mitchel,400434
2466,1952,3,5,3893,1,1,4,7,Crawfor,127701
6426,1943,2,3,2559,3,3,1,11,Crawfor,322827
7578,1998,2,10,1947,3,3,3,5,CollgCr,279164
13636,2015,3,3,3644,2,2,1,7,Crawfor,130978
13363,2021,2,3,1087,2,2,5,7,Veenker,54860
13111,1985,4,7,2381,3,0,4,14,Crawfor,184801
10322,2007,2,7,700,1,0,5,5,Crawfor,81351
3685,1923,10,7,1021,3,1,3,14,Crawfor,374888
2769,1980,9,10,2387,2,2,4,7,NoRidge,205418
12583,1973,2,8,3052,1,2,3,11,NoRidge,432342
8949,1929,9,5,2211,3,2,5,12,NoRidge,386299
4433,2019,6,5,1287,4,3,3,9,Crawfor,171449
7311,1958,1,4,3610,4,1,4,14,Veenker,126700
7051,2009,4,7,559,3,0,4,4,Crawfor,285486
8420,1986,1,10,1077,1,3,3,5,CollgCr,319099
3184,1995,6,4,820,3,3,4,11,Veenker,307571
6555,1980,4,2,1958,3,3,4,14,NoRidge,487509
5385,2013,3,4,3979,2,3,3,13,Mitchel,242408
14309,2014,3,8,2537,4,1,5,2,Veenker,333806
8396,1980,9,9,1422,2,2,4,5,NoRidge,56408
13096,1913,6,3,1909,2,0,4,12,Veenker,221475
10666,1908,9,7,2194,3,0,4,11,Veenker,313369
11274,1939,5,9,1068,2,3,4,11,Crawfor,455412
4558,1965,2,4,1601,4,3,3,13,CollgCr,196444
9849,2008,8,10,3765,2,1,5,10,Mitchel,307320
4047,1924,5,3,3856,4,3,5,9,NoRidge,67279
4747,2002,2,5,1026,2,0,1,12,Veenker,160401
11167,1972,4,1,3071,4,0,4,5,Mitchel,276801
11998,2017,9,3,3160,2,2,4,13,Veenker,297380
